title,description,author,date,link
Pence faces row over stay at Trump Irish resort...,"Chief of Staff Marc Short said there was a ‘suggestion’ from the president that vice president stay there, but said ‘it wasn’t like a ‘you must’’",Catherine Lucey,2019-09-03T14:25:38Z,https://www.wsj.com/articles/pence-aide-defends-vice-presidents-stay-at-trump-property-in-ireland-11567514416
Want to live longer? You may want to ditch these drinks,Calling all lovers of diet sodas and sugary beverages. There's more bad news linking your favorite soft drinks to disease and an earlier death.,"Sandee LaMotte, CNN",2019-09-03T15:03:51Z,https://www.cnn.com/2019/09/03/health/sugary-drinks-diet-sodas-soft-drink-linked-to-health-issues-wellness/index.html
Jofra Archer slides across pitch during football match with teammates,Ashes 2019: England's Jofra Archer celebrates after scoring a goal against his team-mates during a training session for fourth Test.,,2019-09-03T17:58:22Z,https://www.bbc.co.uk/sport/av/cricket/49572881
Pence defends decision to stay at Trump Doonbeg property,"Pence's chief of staff Marc Short said that the decision to stay at Trump International Golf Links in Doonbeg was made at the president's ""suggestion""",CBS/AP,2019-09-03T11:10:54Z,https://www.cbsnews.com/news/vp-mike-pence-defends-decision-to-stay-at-trump-doonbeg-property-in-ireland/
Private equity giant Carlyle is taking a majority stake in a startup that uses AI to judge how much you smile in interviews — and it could be the future of recruiting,"Private equity giant The Carlyle Group said on Tuesday it agreed to buy a majority stake in HireVue, a company that makes video and AI software for employers to screen job applicants. Carlyle can provide HireVue access to its technology advisers and introduct…",Casey Sullivan,2019-09-03T15:00:00Z,https://www.businessinsider.com/private-equity-giant-carlyle-agrees-to-buy-majority-stake-in-hirevue-2019-9
"At The Border, Cross – Frank McNally on the stresses of driving through the former Yugoslavia","On a family road trip through the former Yugoslavia recently, we got used to crossing international borders, some less eventfully than others. The mountain pass that took us from Croatia into Bosnia-Herzegovina, for example, was so devoid of traffic as to mak…",Frank McNally,2019-09-03T17:01:00Z,https://www.irishtimes.com/opinion/at-the-border-cross-frank-mcnally-on-the-stresses-of-driving-through-the-former-yugoslavia-1.4006681
"U.S. edge Turkey, Canada eliminated from World Cup",Holders United States ground out a dramatic 93-92 overtime win against Turkey in the basketball World Cup while Canada were knocked out after a 92-69 drubbing by Lithuania on Tuesday.,Reuters Editorial,2019-09-03T15:59:30Z,https://ca.reuters.com/article/sportsNews/idCAKCN1VO1ZO-OCASP
Justin Bieber Says Childhood Fame Opened Door to ‘Heavy’ Drug Use,"In a lengthy, emotional message on Instagram, the pop star said being overwhelmed with praise as a child led him to make “terrible decisions.”",Maya Salam,2019-09-03T16:34:27Z,https://www.nytimes.com/2019/09/03/arts/music/justin-bieber-drug-use-instagram.html
Alyssa Milano Gets Slammed For Saying She's Fighting For All Americans' Rights,"""I'm fighting for you, too. That you might be free to be you.""",Kelly Wynne,2019-09-03T18:09:43Z,https://www.newsweek.com/alyssa-milano-gets-slammed-saying-shes-fighting-all-americans-rights-1457443
No-deal opponents argue for Commons control,MPs aiming to block no deal have passed the first hurdle towards introducing a bill to delay Brexit.,BBC News,2019-09-03T18:09:35Z,http://www.bbc.co.uk/news/uk-politics-49573138
Phones Buzz in Class—With Texts From Mom and Dad,Schools are instituting phone bans to cut down on classroom distractions; ‘My mother texts me all the time’,Julie Jargon,2019-09-03T09:49:27Z,https://www.wsj.com/articles/phones-buzz-in-classwith-texts-from-mom-and-dad-11567503003
U.S. judge says opioid litigation can proceed toward trial,"A U.S. judge on Tuesday rejected efforts by drugmakers, distributors and pharmacies to dismiss claims that they caused the nation's opioid crisis, clearing the way for a scheduled landmark trial even as he pushes for a nationwide settlement.",Jonathan Stempel,2019-09-03T17:44:30Z,http://feeds.reuters.com/~r/reuters/topNews/~3/18xT7KQcQQ8/u-s-judge-says-opioid-litigation-can-proceed-toward-trial-idUSKCN1VO2AS
Hurricane Dorian stalls off Florida coast,"Hurricane Dorian, now a Category 2, has stalled about 100 miles off Florida's Atlantic coast. The storm battered the Bahamas as a Category 5. CBS News climate and weather contributor Jeff Berardelli joined CBSN to discuss what sets this storm apart.",CBS News,2019-09-03T17:42:25Z,https://www.cbsnews.com/video/hurricane-dorian-stalls-off-florida-coast/
"Hurricane Dorian Flight Cancellations Reach Nearly 2,000 in U.S. While More Than 1,400 Routes Are Delayed",Nearly half of the canceled flights were planned to go to or leave from Orlando International Airport.,Janice Williams,2019-09-03T16:17:27Z,https://www.newsweek.com/hurricane-dorian-flight-cancellations-airports-1457440
Prince Harry launches sustainable travel initiative after private jet criticism,"Prince Harry, the Duke of Sussex, has launched a global sustainable travel initiative, hot on the heels of criticism over his use of private jets when taking vacations.","Jack Guy, CNN",2019-09-03T11:02:54Z,https://www.cnn.com/travel/article/prince-harry-sustainable-travel-scli-intl/index.html
"62,000 people in the Bahamas don't have access to fresh water after Dorian, Red Cross says","Hurricane Dorian is just starting to inch toward the northwest at one mile per hour after stalling over the Bahamas. The storm is a Category 3, with winds moving at 120 miles per hour. And according to the International Red Cross, 62,000 people on Abaco and G…",CBS News,2019-09-03T12:47:32Z,https://www.cbsnews.com/video/62000-people-in-the-bahamas-dont-have-access-to-fresh-water-after-dorian-red-cross-says/
Chinese 'deepfake' app Zao comes under fire over privacy concerns,"The app, Zao, came under fire over privacy concerns. Users can upload an image of their face to seamlessly swap it for a celebrities.",Ella Torres,2019-09-03T17:50:55Z,https://abcnews.go.com/US/chinese-deepfake-app-zao-fire-privacy-concerns/story?id=65356375
Streaming Services Draw New Subscribers With Old-Time Rock ’n’ Roll,"Spotify, Amazon Music and Pandora all have recently installed new hires to promote older tunes",Christopher Mims,2019-09-03T14:06:00Z,https://www.wsj.com/articles/streaming-services-draw-new-subscribers-with-old-time-rock-n-roll-11567517953
Dow set to slide on new tariffs and global economic troubles,The Dow and the broader stock market are headed lower on Tuesday. Investors' sentiment soured after US tariffs on Chinese imports came into effect over the weekend. Fresh concerns about Brexit are also keeping global markets lower.,"Anneken Tappe, CNN Business",2019-09-03T12:58:30Z,https://www.cnn.com/2019/09/03/investing/dow-stock-market-today/index.html
Biden campaign signals it's preparing for a long primary fight,"Former Vice President Joe Biden is preparing for a lengthy Democratic primary battle despite his status as the front-runner in national polls, senior campaign aides said Tuesday.","Eric Bradner, Jessica Dean, Arlette Saenz and Jeff Zeleny, CNN",2019-09-03T17:56:34Z,https://www.cnn.com/2019/09/03/politics/joe-biden-campaign-iowa-long-primary/index.html
AT&T makes WarnerMedia boss John Stankey the presumptive successor to its CEO,"AT&T announced two promotions on Tuesday that place John Stankey, the CEO of its subsidiary WarnerMedia, firmly in line to succeed the wireless giant's CEO, Randall Stephenson.","Brian Stelter, CNN Business",2019-09-03T17:24:16Z,https://www.cnn.com/2019/09/03/media/att-john-stankey/index.html
Cancer now tops heart disease as the No. 1 cause of death in these countries,"Cancer deaths are now more common than those from cardiovascular disease in these high-income and middle-income countries: Sweden, Canada, Chile, Argentina, Poland and Turkey, according to a new study. The United States could be next.","Jacqueline Howard, CNN",2019-09-03T09:37:52Z,https://www.cnn.com/2019/09/03/health/leading-cause-of-death-cancer-heart-disease-study/index.html
Air Canada files challenge over Onex's C$3.5 billion buyout of rival WestJet,"Air Canada has challenged Onex Corp's proposed acquisition of WestJet Airlines , on grounds that the deal may not meet the country's ownership rules, according to a letter sent by the carrier to the Canadian Transportation Agency.",Reuters Editorial,2019-09-03T16:56:00Z,https://ca.reuters.com/article/businessNews/idCAKCN1VO25S-OCABS
"No Food, No Jobs, No Future: Turned Away From the U.S. Border, Young Hondurans Say They Are Struggling to Survive","""Trump is right because there are just so many people trying to make it to the U.S., but where would the U.S. be if it weren't for Latinos?"" says 25-year-old Cristian Betancourt.",Chantal Da Silva,2019-09-03T06:00:01Z,https://www.newsweek.com/young-hondurans-turned-back-u-s-border-struggling-survive-1456820
Bangladesh blocks internet services in Rohingya refugee camps,"Bangladesh's telecom regulatory authority on Tuesday ordered mobile phone operators to partially block high-speed data services to areas where Rohingya refugees are living in sprawling camps, citing security concerns following recent violence in the area.",Ruma Paul,2019-09-03T15:27:36Z,https://www.reuters.com/article/us-bangladesh-rohingya-idUSKCN1VO1WQ
"How to restart an Xbox One on the console or a controller, or shut it down","You can restart an Xbox One if you want to fix any bugs or glitches with the console. There are multiple ways to run a power off and on cycle on an Xbox One, including a forced manual shutdown. Restarting or powering an Xbox One off will not erase games or sa…",Steven John,2019-09-03T14:07:00Z,https://www.businessinsider.com/how-to-restart-xbox-one
"Oldest, Most Strategic U.S. Base for Deterring North Korea Shuts Down","After more than 60 years, the U.S. is closing a military base in Seoul that has kept the region safe from North Korean threats. WSJ explores the historic complex and meets the people who have called it home for years. Video: Clément Bürge. Image composite: Cr…",,2019-09-03T09:30:00Z,https://www.wsj.com/video/oldest-most-strategic-us-base-for-deterring-north-korea-shuts-down/10D405D9-3DA4-4853-9563-1E91D629D3CE.html
Pottery Barn Teen's Fantastic Beasts Collection features decor and bedding that 'Harry Potter' fans of any age will love,"Harry Potter fans will want to check out the new Fantastic Beasts line available from Pottery Barn Teen. While these items are meant for the teen set, there are many items that adults will love. This eclectic collection really does bring a bit of magic in you…",Sunny Chanel,2019-09-03T16:30:00Z,https://www.businessinsider.com/harry-potter-fantastic-beasts-pottery-barn
Hong Kong targets more pro-democracy activists amid protests,"Three leaders, including Demosisto's Ivan Lam, among hundreds detained since mass protests began three months ago.",Al Jazeera,2019-09-03T06:50:22Z,https://www.aljazeera.com/news/2019/09/hong-kong-targets-pro-democracy-activists-protests-190903051802721.html
Is Dying at Home Overrated?,"A palliative care physician struggles with the complex realities of dying at home, and the unintended consequences of making it a societal priority.","Richard Leiter, M.D.",2019-09-03T09:00:03Z,https://www.nytimes.com/2019/09/03/well/live/is-dying-at-home-overrated.html
"Nie Yuanzi, Whose Poster Fanned Cultural Revolution, Dies at 98","She helped write a vitriolic “big-character poster” that won Mao’s blessing. For the rest of her life, she wrestled with the fame and infamy that followed.",Chris Buckley,2019-09-03T17:11:40Z,https://www.nytimes.com/2019/09/03/world/asia/nie-yuanzi-dead.html
"Oklahoma Man Hurls Cupcake From Car and Hits Driver in the Face, Gets Charged With Assault","Trevor Pearson, 31, of Lexington, was left facing a misdemeanor assault charge in the Garvin County District Court this week after the incident, which occurred in May.",Jason Murdock,2019-09-03T10:23:17Z,https://www.newsweek.com/oklahoma-trevor-pearson-cupcake-misdemeanor-assault-charge-driver-garvin-county-district-court-1457306
Amazon is pushing its private labels just as consumers add competing products to their carts (AMZN),"This is an excerpt from a story delivered exclusively to Business Insider Intelligence Payments & Commerce subscribers. To receive the full story plus other insights each morning, click here. Amazon is displaying its own private-label products on competing pr…",Daniel Keyes,2019-09-03T14:10:00Z,https://www.businessinsider.com/amazons-positioning-itself-to-steal-sales-on-competing-pages-2019-9
"Illinois joins lawsuit to ask court to stop merger of T-Mobile, Sprint","Illinois has joined a multistate lawsuit aimed at stopping the merger of U.S. wireless carriers T-Mobile US Inc and Sprint Corp , the New York attorney general's office, which is leading the effort along with California, said Tuesday.",Reuters Editorial,2019-09-03T17:10:47Z,https://www.reuters.com/article/us-sprint-m-a-tmobile-illinois-idUSKCN1VO27L
Stocks drop on new signs of trouble in manufacturing,A measure of manufacturing activity last month fell to a 3-year low — and this was before tariffs went into effect,CBS/AP,2019-09-03T16:11:54Z,https://www.cbsnews.com/news/stock-market-today-drop-on-manufacturing-sector-shrink/
Walmart ends all handgun ammunition sales and asks customers not to carry guns into stores,"Walmart on Tuesday announced it will reduce its gun and ammunition sales, one month after more than 20 people were killed in a mass shooting at a Walmart in El Paso, Texas. Walmart also pressured Congress to enact gun safety measures.","Nathaniel Meyersohn, CNN Business",2019-09-03T17:00:05Z,https://www.cnn.com/2019/09/03/business/walmart-ends-handgun-ammo-sales/index.html
