title,description,author,date,link
"Donald Trump Gets AIDS In A New Movie, And That Has Studio Execs In A Panic","Afraid of Trump's reaction, they're ""subtly trying to make it disappear,"" says an industry source.",Ryan Grim,03/03/16,https://www.huffpost.com/entry/donald-trump-brothers-grimsby-sacha-baron-cohen_n_9377600
"Trade, Truth, And Trump","""The press has largely been dishonest.""",Dean Baker,08/16/16,https://www.huffpost.com/entry/tradetruth-and-trump_b_57b26421e4b0567d4f12be7f
Ruth Bader Ginsburg On Donald Trump: Unprecedented Or A Supreme Court Norm?,"Strong, opinionated women, like ""The Notorious RBG,"" are always criticized. She spoke what many people already feel about the utterly unqualified Donald Trump. Her comments deserve a deeper analysis beyond subjective punditry or sanctimonious Tweets.",Barbra Streisand,07/15/16,https://www.huffpost.com/entry/ruth-bader-ginsburg-on-donald-trump-unprecedented-or-a-supreme-court-norm_b_11022170
Forever 21 Removes Creepy Graphic Tee From Its Website,Many have complained that the shirt promotes victim-blaming.,Jenavieve Hatch,03/14/16,https://www.huffpost.com/entry/forever-21-removes-creepy-graphic-tee-from-its-website_n_56e6fa4be4b065e2e3d6b616
'Curse Of La Llorona' Scares Off Competition At The Box Office,"“La Llorona” is the latest horror movie to outperform expectations, further cementing the genre as a reliable box office draw.",Reuters/Variety,04/22/19,https://www.huffpost.com/entry/curse-of-la-llorona-box-office_n_5cbd80bce4b06605e3f09fc2
The Tide Is Turning For Women In Pakistan. Here's How We Can Help,Oscar-Nominated filmmaker Sharmeen Obaid-Chinoy joined Caroline Modaressy-Tehrani to discuss what needs to happen in Pakistan to enhance women's rights in 2016.,HuffPost Video,01/21/16,https://www.huffpost.com/entry/the-tide-is-turning-for-women-in-pakistan-heres-how-we-can-help_n_5b57bd04e4b01e373aac3383
It's About Time You Knew About Montreal-Style Bagels,They're made with honey water and fired in a wood oven. What's not to love?,Lee Breslouer,09/30/19,https://www.huffpost.com/entry/montreal-style-bagels_l_5d792b40e4b0a938a42c9578
"Girl, 6, Writes Touching Letter To Defend Brother With Autism",Lex took a stand after a classmate called her brother 'weird.',Lee Moran,10/24/16,https://www.huffpost.com/entry/autism-letter-school-girl_n_12620398
Four Lies We Tell Ourselves That Keep Us From Being Happy,"Women can be the biggest b*tches. I mean, we can find just the littlest thing about a person and cut them down right at the knees. And not even think twice.",Heather Sample Spires,08/12/15,https://www.huffpost.com/entry/four-lies-we-tell-ourselv_b_7974720
"Ski, Then Party in Ischgl. Sleep? Forget it!",,Arnie Wilson,06/10/15,https://www.huffpost.com/entry/ski-then-party-in-ischgl-_b_7549782
"5 Legitimate National Emergencies, According To Real Americans",A majority of Americans disagree with the president that there is an urgent need to build a wall along the southern border. These are some issues they think are more pressing.,,02/21/19,https://www.huffpost.com/entry/5-legitimate-national-emergencies-according-to-real-americans_n_5c6dc693e4b0f40774cbac9e
Kevin Hart Still Doesn't Get Why He Mishandled The Oscar Host Debacle,He rejected the characterization that he was defensive when he resigned from hosting the Oscars — while continuing to defend himself.,Marina Fang,04/02/19,https://www.huffpost.com/entry/kevin-hart-oscar-host-controversy_n_5ca363cfe4b04693a947e1cf
El gobernador mexicano que quiere explotar el Big Ben de Londres,"La Plaza Independencia, antes Plaza de las Diligencias, es el principal espacio público de Pachuca. Al centro, el Reloj Monumental, una torre de 40 metros de altura inaugurada el 15 de septiembre de 1910.",Alberto Buitre,07/27/15,https://www.huffpost.com/entry/gobernador-mexicano-quiere-explotar-big-ben_b_7743878
African Americans Killed By Cops Are Twice As Likely to Have Been Unarmed As Whites,"This is a complicated piece of data, but it reveals something relatively simple. An unarmed black or brown person in America is much more likely to be killed by a police officer than an unarmed white person.",Ian Reifowitz,06/04/15,https://www.huffpost.com/entry/african-americans-killed_b_7510874
6 Ways To Fix Baltimore's Police Problem,,Sam Levine,10/24/15,https://www.huffpost.com/entry/baltimore-police-problem_n_562bdab7e4b0ec0a3894b1bd
"Greta Thunberg Leans Into Quiz Show Meme, Changes Twitter Name To Sharon",The teenager got the name from an internet meme created after a contestant on a BBC show incorrectly guessed who she was.,Jenna Amatulli,01/03/20,https://www.huffpost.com/entry/greta-thunberg-sharon-celebrity-mastermind_n_5e0f8922e4b0b2520d2129c7
Syrian Army Says It Has Cut Off All Supply Routes Into Rebel-Held Aleppo,“Today there is no way at all to bring anything into Aleppo.”,Reuters,07/27/16,https://www.huffpost.com/entry/syrian-army-aleppo-siege_n_11216774
Five Networking Tips for Startups,,Young Entrepreneur Council,12/07/16,https://www.huffpost.com/entry/five-networking-tips-for_b_13324730
Ending Wildlife Trafficking Demands Corporate Leadership,"Wildlife trafficking is a global problem, with implications that extend far beyond the populations of animals killed for their hair, hides, teeth, and horns. If we're going to be successful in stemming this epidemic, the United States must play a leading role in eliminating our own demand for illegal products.",Sally Jewell,05/04/16,https://www.huffpost.com/entry/ending-wildlife-trafficking_b_9843270
Twenty Years of Women's Financial Inclusion,"The types of financial services that low-income women are able to access have also changed. In 1995, we were still promoting the idea that low-income women entrepreneurs were optimal loan clients. Today, financial institutions are offering savings, microinsurance, digital financial services to rural families, women who work in factories, and women who run larger businesses.",Gayle Gatchalian,09/16/15,https://www.huffpost.com/entry/twenty-years-of-womens-fi_b_8134936
Washing Machine Vs. Brick (VIDEO),, ,12/07/17,https://www.huffpost.com/entry/washing-machine-vs-brick_n_667025
21 Tweets That Are All Too Real If You Grew Up With Divorced Parents,Suitcases for days. 🛄 🛄,Brittany Wong,10/27/15,https://www.huffpost.com/entry/21-tweets-that-are-all-too-real-if-you-grew-up-with-divorced-parents_n_562e5854e4b06317990e9546
5 Reasons Mother’s Day Is Better After My Divorce,"As I approach this Mother’s Day, I give thanks for the “Single Mother’s Day” I know now.",Stacey Freeman,05/03/17,https://www.huffpost.com/entry/5-reasons-mothers-day-is-better-after-my-divorce_l_6110b39be4b0ed63e6558ee3
5 Things To Watch For In Tonight's GOP Debate,The candidates are getting ready to submit to their third televised battle. But will their massive field finally start to winnow?,,10/28/15,https://www.huffpost.com/entry/gop-debate-preview_n_562fa873e4b0c66bae599b8f
